team,confederation
Honduras,CONCACAF
Hong Kong,AFC
Hungary,UEFA
Iceland,UEFA
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Iraqi Kurdistan,Other
Isle of Man,Other
Isle of Wight,Other
Israel,UEFA
Italy,UEFA
Ivory Coast,CAF
Jamaica,CONCACAF
Japan,AFC
Jersey,Other
Jordan,AFC
Kabylia,Other
Kazakhstan,UEFA
Kenya,CAF
Kernow,Other
Kiribati,OFC
Kosovo,UEFA
Kurdistan,Other
Kuwait,AFC
Kyrgyzstan,AFC
Kárpátalja,Other
Laos,AFC
Latvia,UEFA
Lebanon,AFC
Lesotho,CAF
Liberia,CAF
Libya,CAF
Liechtenstein,UEFA
Lithuania,UEFA
Luhansk PR,Other
Luxembourg,UEFA
Macau,AFC
Madagascar,CAF
Madrid,Other
Malawi,CAF
Malaysia,AFC
Maldives,CAF
Mali,CAF
Malta,UEFA
Manchukuo,Other
Mapuche,Other
Marshall Islands,OFC
Martinique,CONCACAF
Matabeleland,Other
Maule Sur,Other
Mauritania,CAF
Mauritius,CAF
Mayotte,CAF
Menorca,Other
Mexico,CONCACAF
Micronesia,OFC
Moldova,UEFA
Monaco,Other
Mongolia,AFC
Montenegro,UEFA
Montserrat,CONCACAF
Morocco,CAF
Mozambique,CAF
Myanmar,AFC
Namibia,CAF
Nepal,AFC
Netherlands,UEFA
New Caledonia,OFC
New Zealand,OFC
Nicaragua,CONCACAF
Niger,CAF
Nigeria,CAF
Niue,OFC
North Korea,AFC
North Macedonia,UEFA
North Vietnam,AFC
Northern Cyprus,Other
Northern Ireland,UEFA
Northern Mariana Islands,AFC
Norway,UEFA
Occitania,Other
Oman,AFC
Orkney,Other
Padania,Other
Pakistan,AFC
Palau,OFC
Palestine,AFC
Panama,CONCACAF
Panjab,Other
Papua New Guinea,OFC
Paraguay,CONMEBOL
Parishes of Jersey,Other
Peru,CONMEBOL
Philippines,AFC
Poland,UEFA
Portugal,UEFA
Provence,Other
Puerto Rico,CONCACAF
Qatar,AFC
Quebec,Other
Raetia,Other
Republic of Ireland,UEFA
Republic of St. Pauli,Other
Rhodes,Other
Romani people,Other
Romania,UEFA
Rouet-Provence,Other
Russia,UEFA
Rwanda,CAF
Ryūkyū,Other
Réunion,CAF
Saare County,Other
Saarland,Other
Saint Barthélemy,Other
Saint Helena,Other
Saint Kitts and Nevis,CONCACAF
Saint Lucia,CONCACAF
Saint Martin,CONCACAF
Saint Pierre and Miquelon,Other
Saint Vincent and the Grenadines,CONCACAF
Samoa,OFC
San Marino,UEFA
Sark,Other
Saudi Arabia,AFC
Saugeais,Other
Scotland,UEFA
Sealand,Other
Seborga,Other
Senegal,CAF
Serbia,UEFA
Seychelles,CAF
Shetland,Other
Sierra Leone,CAF
Silesia,Other
Singapore,AFC
Sint Maarten,CONCACAF
Slovakia,UEFA
Slovenia,UEFA
Solomon Islands,OFC
Somalia,CAF
Somaliland,Other
South Africa,CAF
South Korea,AFC
South Ossetia,Other
South Sudan,CAF
South Yemen,AFC
Spain,UEFA
Sri Lanka,AFC
Sudan,CAF
Suriname,CONCACAF
Surrey,Other
Sweden,UEFA
Switzerland,UEFA
Syria,AFC
Székely Land,Other
Sápmi,Other
São Tomé and Príncipe,CAF
Tahiti,OFC
Taiwan,AFC
Tajikistan,AFC
Tamil Eelam,Other
Tanzania,CAF
Thailand,AFC
Tibet,Other
Timor-Leste,AFC
Togo,CAF
Tonga,OFC
Trinidad and Tobago,CONCACAF
Tunisia,CAF
Turkey,UEFA
Turkmenistan,AFC
Turks and Caicos Islands,CONCACAF
Tuvalu,OFC
Two Sicilies,Other
Uganda,CAF
Ukraine,UEFA
United Arab Emirates,AFC
United Koreans in Japan,Other
United States,CONCACAF
United States Virgin Islands,CONCACAF
Uruguay,CONMEBOL
Uzbekistan,AFC
Vanuatu,OFC
Vatican City,Other
Venezuela,CONCACAF
Vietnam,AFC
Vietnam Republic,AFC
Wales,UEFA
Wallis Islands and Futuna,OFC
West Papua,Other
Western Armenia,Other
Western Australia,Other
Western Isles,Other
Western Sahara,Other
Yemen,AFC
Yemen DPR,AFC
Ynys Môn,Other
Yorkshire,Other
Yoruba Nation,Other
Yugoslavia,UEFA
Zambia,CAF
Zanzibar,CAF
Zimbabwe,CAF
Åland Islands,Other
